x,y,z,dx,dy,dz,Epoch
4537.16550669403,5213.32467295142,-223.687062897194,-5.11797586838869,4.30255827069302,-3.60522419478609,2021-03-30T17:31:00.000
4220.45372294528,5459.96709067291,-439.356299342184,-5.43525618427574,3.91588271397608,-3.58113962444572,2021-03-30T17:32:00.000
3885.4075521387,5682.89093184405,-653.111801117229,-5.72890063328976,3.51222641474816,-3.54145655228266,2021-03-30T17:33:00.000
3533.48394625455,5881.12981821599,-864.022581554957,-5.99763381793609,3.0933502098373,-3.48635058934796,2021-03-30T17:34:00.000
3166.21307668262,6053.82505597784,-1071.17025272886,-6.24029169363919,2.66108073501489,-3.41606588247645,2021-03-30T17:35:00.000
2785.19151302752,6200.22925235482,-1273.65307065255,-6.45582510252783,2.21730024108414,-3.33091255100337,2021-03-30T17:36:00.000
2392.07525007617,6319.70946232251,-1470.58982916562,-6.64330324600008,1.76393995588989,-3.23126484364304,2021-03-30T17:37:00.000
1988.5724810713,6411.74986425864,-1661.12366929952,-6.80191766877811,1.30297153434042,-3.11756004531214,2021-03-30T17:38:00.000
1576.43614893643,6475.95393945074,-1844.42582418749,-6.9309854099122,0.836398536035206,-2.99029672164273,2021-03-30T17:39:00.000
1157.4563380135,6512.04612780981,-2019.69921564515,-7.02995223030123,0.366247977579306,-2.85003228533979,2021-03-30T17:40:00.000
733.452447320787,6519.87297280642,-2186.18191030206,-7.09839525427115,-0.105438594804066,-2.69738028872279,2021-03-30T17:41:00.000
306.265269294234,6499.40371783318,-2343.15040153549,-7.1360246322693,-0.576614232633747,-2.53300756625177,2021-03-30T17:42:00.000
-122.251031993076,6450.73035098271,-2489.92272019421,-7.14268462910336,-1.04523601869987,-2.3576314852168,2021-03-30T17:43:00.000
-550.236970034317,6374.06708335313,-2625.86137026045,-7.11835330502855,-1.50927412824462,-2.17201642328552,2021-03-30T17:44:00.000
-975.835742833217,6269.74932354737,-2750.37604359209,-7.06314208135451,-1.96671978626621,-1.97697034129683,2021-03-30T17:45:00.000
-1397.20121903661,6138.23218269643,-2862.92613170179,-6.97729525839367,-2.41559301071295,-1.77334155715422,2021-03-30T17:46:00.000
-1812.50592285898,5980.08847951701,-2963.02306453337,-6.86119012910855,-2.85395200093624,-1.56201556949426,2021-03-30T17:47:00.000
-2219.94891117747,5796.00614487479,-3050.23239145025,-6.71533306819589,-3.27990257987402,-1.34391018651856,2021-03-30T17:48:00.000
-2617.763436635,5586.78521435855,-3124.1756336537,-6.54035761420501,-3.69160312861069,-1.11997298183177,2021-03-30T17:49:00.000
-3004.22458402027,5353.33440156452,-3184.53194865078,-6.33702408931572,-4.0872743958506,-0.891176424105807,2021-03-30T17:50:00.000
-3377.65671709872,5096.66710528723,-3231.03944410054,-6.10621393765937,-4.46520720588258,-0.658512426482182,2021-03-30T17:51:00.000
-3736.44062647996,4817.89704008678,-3263.4962572628,-5.84892624342228,-4.82376771254999,-0.422989778581747,2021-03-30T17:52:00.000
-4079.02053302271,4518.23348027399,-3281.76147573605,-5.56627540205302,-5.16140627607086,-0.185630252135819,2021-03-30T17:53:00.000
-4403.9107881802,4198.97594452334,-3285.75571580406,-5.25948363608334,-5.47666521464504,0.05253774791407,2021-03-30T17:54:00.000
-4709.702165528,3861.50854834966,-3275.46139760853,-4.92987491644884,-5.76818276314715,0.290483172125511,2021-03-30T17:55:00.000
-4995.06780004206,3507.29415877947,-3250.92279903411,-4.57887046627923,-6.03469653374943,0.527175529469101,2021-03-30T17:56:00.000
-5258.76896216542,3137.86823209377,-3212.24593192549,-4.20798594797367,-6.27505080483107,0.761588346696631,2021-03-30T17:57:00.000
-5499.66048873947,2754.83216667519,-3159.59812299551,-3.8188227855239,-6.488203679842,0.992705292811495,2021-03-30T17:58:00.000
-5716.69566854014,2359.84642190228,-3093.20727383736,-3.41306063474684,-6.67322900496725,1.2195239768113,2021-03-30T17:59:00.000
-5908.93078280714,1954.62343988134,-3013.36092063472,-2.99245157885633,-6.82932085584972,1.44105963695686,2021-03-30T18:00:00.000
-6075.52922725605,1540.92031538145,-2920.40505371849,-2.55881289757653,-6.95579715298948,1.65634935013849,2021-03-30T18:01:00.000
-6215.76520974321,1120.53127217281,-2814.74267598251,-2.11401984567508,-7.05210323405807,1.86445624926079,2021-03-30T18:02:00.000
-6329.0269974875,695.279902553328,-2696.83210821074,-1.65999758182597,-7.11781493182171,2.06447410089864,2021-03-30T18:03:00.000
-6414.81963820871,267.011286135226,-2567.1850104706,-1.19871230216985,-7.15264075290469,2.2555318693301,2021-03-30T18:04:00.000
-6472.76716099502,-162.416017873197,-2426.36415956062,-0.732162205779568,-7.15642266331403,2.43679726421205,2021-03-30T18:05:00.000
-6502.6142342616,-591.137986259975,-2274.98102255975,-0.262369168210682,-7.12913665215243,2.60748002268988,2021-03-30T18:06:00.000
-6504.22733983254,-1017.29316915621,-2113.69313435826,0.208629705704094,-7.07089275247592,2.76683549225722,2021-03-30T18:07:00.000
-6477.59543735323,-1439.03075500013,-1943.20126722259,0.678790304581286,-6.98193524161298,2.9141674880714,2021-03-30T18:08:00.000
-6422.83009950944,-1854.5185950042,-1764.24642643454,1.14607141942027,-6.86264190904914,3.04883175483878,2021-03-30T18:09:00.000
-6340.16506936944,-2261.95115357532,-1577.60665010378,1.6084430465097,-6.71352149631762,3.17023827793897,2021-03-30T18:10:00.000
-6229.95535869356,-2659.55732102685,-1384.09369891347,2.06389438582108,-6.53521261224371,3.2778535041812,2021-03-30T18:11:00.000
-6092.67583051503,-3045.60813739964,-1184.54958291332,2.51044254005115,-6.3284814110116,3.37120315312784,2021-03-30T18:12:00.000
