epoch,x,y,z,dx,dy,dz
2021-04-04T00:00:00.000,-4257.94530035418,-5083.09202908991,1945.06264755722,5.8905866207273,-3.81405441529691,2.91919088748329
2021-04-04T00:01:00.000,-3895.50384609064,-5300.71148031889,2115.84387829366,6.18641071631927,-3.43729849249203,2.77144714697252
2021-04-04T00:02:00.000,-3516.11469585231,-5495.26904809226,2277.39457907886,6.4553046074585,-3.04560480090356,2.61161890839582
2021-04-04T00:03:00.000,-3121.42939475156,-5665.9194881072,2429.01043469801,6.69609771724657,-2.64068456841766,2.44040668096412
2021-04-04T00:04:00.000,-2713.16593335384,-5811.92199045424,2570.03067902308,6.90774687131975,-2.22430552625444,2.25856080342365
2021-04-04T00:05:00.000,-2293.10103120803,-5932.64320184315,2699.84093935449,7.08933726992952,-1.79828032474206,2.06687674297254
2021-04-04T00:06:00.000,-1863.06246584909,-6027.55973277509,2817.87584585044,7.24008184023355,-1.36446156414006,1.86619194052713
2021-04-04T00:07:00.000,-1424.92129526973,-6096.26048797322,2923.6214757375,7.35932683366993,-0.924738591703484,1.65738339430348
2021-04-04T00:08:00.000,-980.583602702433,-6138.44857817882,3016.61758954573,7.44655855738913,-0.481026838115755,1.44136267102742
2021-04-04T00:09:00.000,-531.982102512383,-6153.94254806747,3096.45958205495,7.50140327580625,-0.035257299261554,1.21907216303741
2021-04-04T00:10:00.000,-81.0676989292493,-6142.67705667164,3162.80023713993,7.52362826619967,0.410632162498567,0.991481871055959
2021-04-04T00:11:00.000,370.198968076141,-6104.70303008955,3215.35127258456,7.51314192232989,0.854704883381989,0.759585444900169
2021-04-04T00:12:00.000,819.856020415042,-6040.18735817229,3253.88458080275,7.46999459804331,1.2950337586008,0.524393835680057
2021-04-04T00:13:00.000,1265.94881004167,-5949.41208913062,3278.23306361413,7.39437655549072,1.72970785374373,0.286929166899337
2021-04-04T00:14:00.000,1706.53831339442,-5832.77331233855,3288.29127216635,7.28661851443812,2.15683818124376,0.048224389284977
2021-04-04T00:15:00.000,2139.70958407032,-5690.77953691467,3284.01600973447,7.14719269306909,2.57456852351578,-0.190679448428314
2021-04-04T00:16:00.000,2563.58021215224,-5524.04936244247,3265.42657249996,6.97670987704434,2.98108691348119,-0.428741798653889
2021-04-04T00:17:00.000,2976.3083765078,-5333.30863335221,3232.60453315207,6.77591192532338,3.37463071330149,-0.664927347769359
2021-04-04T00:18:00.000,3376.10075298033,-5119.38737119864,3185.6934067797,6.54567370563303,3.75349215075354,-0.898207572107126
2021-04-04T00:19:00.000,3761.22036726708,-4883.21608325745,3124.89804486998,6.28699679818433,4.11603039808335,-1.12756733826673
2021-04-04T00:20:00.000,4129.99396799081,-4625.82167646004,3050.48370427826,6.00100375976979,4.46067358138867,-1.35200889548063
2021-04-04T00:21:00.000,4480.81923670283,-4348.32312328143,2962.7748915269,5.68893546583529,4.78592606222192,-1.57055557328139
2021-04-04T00:22:00.000,4812.17173277677,-4051.92668928678,2862.15399563896,5.35214630402226,5.09037451894261,-1.782255188789
2021-04-04T00:23:00.000,5122.61159165105,-3737.92079724041,2749.05969146962,4.99210040861338,5.37269539056447,-1.98618482712896
2021-04-04T00:24:00.000,5410.78990238458,-3407.67038476971,2623.98500168466,4.61036360236887,5.63166247562348,-2.18145638812288
2021-04-04T00:25:00.000,5675.45454088329,-3062.61093509345,2487.47513084256,4.20859551919573,5.86615132265307,-2.36721901931441
2021-04-04T00:26:00.000,5915.45562373326,-2704.24222899812,2340.1251142451,3.78854306064964,6.07514377434034,-2.54266339271274
2021-04-04T00:27:00.000,6129.75049149064,-2334.12184797441,2182.57720674212,3.35203226943635,6.25773171220755,-2.70702518830821
2021-04-04T00:28:00.000,6317.40827031517,-1953.8584729705,2015.51810639147,2.90096227515588,6.41312110980879,-2.85958794880348
2021-04-04T00:29:00.000,6477.61402666754,-1565.10486847807,1839.67597694328,2.43729727066367,6.54063709000687,-2.99968636634807
2021-04-04T00:30:00.000,6609.67238405663,-1169.55059582764,1655.81726741545,1.96305573193307,6.63972833051946,-3.1267103666628
2021-04-04T00:31:00.000,6713.01040692075,-768.914634642724,1464.74331815813,1.4803001431347,6.70996551972545,-3.2401070891389
2021-04-04T00:32:00.000,6787.18012337179,-364.937966849675,1267.28687565188,0.99113152832177,6.75104521422099,-3.33938289375629
2021-04-04T00:33:00.000,6831.86048750073,40.6240322746709,1064.30847544365,0.497678398396475,6.76279119074548,-3.42410553962324
2021-04-04T00:34:00.000,6846.85879141069,446.009245301544,856.692698201014,0.002088601398305,6.74515503691534,-3.49390604641369
2021-04-04T00:35:00.000,6832.11153405376,849.456515776693,645.344299870302,-0.493480502986966,6.69821709764012,-3.54848124840021
2021-04-04T00:36:00.000,6787.68468330685,1249.21334314849,431.18422106839,-0.986872344941767,6.62218562955467,-3.58759503450108
2021-04-04T00:37:00.000,6713.77334409522,1643.54353475603,215.145536682569,-1.47594029136369,6.51739559622252,-3.61107904067135
2021-04-04T00:38:00.000,6610.70089313236,2030.73477198093,-1.83062644429369,-1.95855692271182,6.38430752448903,-3.61883342402962
2021-04-04T00:39:00.000,6478.91753436274,2409.1060776411,-218.799216649792,-2.4326237829632,6.22350542926403,-3.61082721501371
2021-04-04T00:40:00.000,6318.99827254219,2777.01515549706,-434.815392403666,-2.8960805445551,6.03569387036097,-3.58709825571778
2021-04-04T00:41:00.000,6131.64037320454,3132.86551999379,-648.938640213194,-3.34691394872788,5.82169499128314,-3.5477531576856
